MÊS ;DATA;TRANSPORTADORA;LIBERADOS;MALHA ;OPERAÇÃO;TOTAL TRANSPORTADORAS;% MALHA
Julho;2025-07-07;PJ;14;3;Direta;17;0.176
Julho;2025-07-07;TRILOG;6;1;Direta;7;0.143
Julho;2025-07-07;REU;31;1;Direta;32;0.031
Julho;2025-07-07;Riviera;7;1;Direta;8;0.125
Julho;2025-07-08;FE;34;3;LML;37;0.081
Julho;2025-07-08;DMD;22;3;LML;25;0.12
Julho;2025-07-08;Zumpy;46;2;LML;48;0.042
Julho;2025-07-08;Zoom;7;1;LML;8;0.125
Julho;2025-07-08;Assis Rio;43;4;Direta;47;0.085
Julho;2025-07-08;PJ;16;1;Direta;17;0.059
Julho;2025-07-08;TRILOG;7;1;Direta;8;0.125
Julho;2025-07-08;REU;27;3;Direta;30;0.1
Julho;2025-07-08;Riviera;5;1;Direta;6;0.167
Julho;2025-07-09;FE;34;2;LML;36;0.056
Julho;2025-07-09;DMD;23;2;LML;25;0.08
Julho;2025-07-09;Zumpy;49;5;LML;54;0.093
Julho;2025-07-09;Zoom;8;1;LML;9;0.111
Julho;2025-07-09;Assis Rio;46;4;Direta;50;0.08
Julho;2025-07-09;PJ;15;3;Direta;18;0.167
Julho;2025-07-09;TRILOG;5;0;Direta;5;0.0
Julho;2025-07-09;REU;27;1;Direta;28;0.036
Julho;2025-07-09;Riviera;5;2;Direta;7;0.286
Julho;2025-07-10;FE;29;3;LML;32;0.094
Julho;2025-07-10;DMD;9;2;LML;11;0.182
Julho;2025-07-10;Zumpy;47;4;LML;51;0.078
Julho;2025-07-10;Zoom;5;0;LML;5;0.0
Julho;2025-07-10;Assis Rio;46;2;Direta;48;0.042
Julho;2025-07-10;PJ;17;3;Direta;20;0.15
Julho;2025-07-10;TRILOG;7;1;Direta;8;0.125
Julho;2025-07-10;REU;28;3;Direta;31;0.097
Julho;2025-07-10;Riviera;5;1;Direta;6;0.167
Julho;2025-07-11;FE;32;1;LML;33;0.03
Julho;2025-07-11;DMD;23;1;LML;24;0.042
Julho;2025-07-11;Zumpy;47;5;LML;52;0.096
Julho;2025-07-11;Zoom;8;2;LML;10;0.2
Julho;2025-07-11;Assis Rio;47;4;Direta;51;0.078
Julho;2025-07-11;PJ;14;2;Direta;16;0.125
Julho;2025-07-11;TRILOG;7;2;Direta;9;0.222
Julho;2025-07-11;REU;30;3;Direta;33;0.091
Julho;2025-07-11;Riviera;7;0;Direta;7;0.0
Julho;2025-07-12;FE;15;1;LML;16;0.063
Julho;2025-07-12;DMD;11;1;LML;12;0.083
